Package Category,Initial Email,Responded Email
General,Can I cancel my order before it ships?,Your cancellation request has been completed. Our support team is monitoring this case.
General,I want to place a replacement order. Thanks in advance.,We can assist you with a replacement purchase. Our support team is monitoring this case.
Delivered,The item arrived damaged. Please help.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
Shipped,Did my package already go out?,"Yes, the carrier picked up your package this morning. We appreciate your understanding."
General,Can I cancel my order before it ships? Order #10067.,Your cancellation request has been completed. Thank you for your patience.
Delivered,My tracking says delivered but I can't find the package.,We have contacted the carrier to verify the delivery details. We appreciate your understanding.
Delivered,I received an empty package. Please help.,We are investigating the missing contents immediately.
Transit,Where is my package? It hasn't updated since yesterday. Order #10070.,Your shipment is still moving through the carrier network.
General,Can I cancel my order before it ships? Order #10071.,Your cancellation request has been completed. Please allow additional time for updates.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? Please help.,The carrier expects the package to move within the next 24 hours.
Delivered,I received an empty package. Please help.,We are investigating the missing contents immediately. We appreciate your understanding.
Delivered,The package was delivered to the wrong address. Thanks in advance.,We are reviewing the GPS delivery scan with the carrier. A support representative will follow up if needed.
Transit,The tracking page says in transit for days. Thanks in advance.,Your package is still on the way and should arrive soon. You will receive another update shortly.
Transit,My package is delayed in transit. This is urgent.,We apologize for the delay and are monitoring the shipment closely.
Delivered,The item arrived damaged. Order #10078.,We are arranging a replacement shipment for you.
General,Can I cancel my order before it ships? This is urgent.,Your cancellation request has been completed.
General,I need to change my shipping address. Please help.,Your delivery address has been updated. Please allow additional time for updates.
Investigations,I think my shipment is missing. Please help.,We are actively working with the carrier to resolve the issue.
Shipped,Can you send me my tracking information? Please help.,Your tracking number has been emailed to you. A support representative will follow up if needed.
Shipped,When will my order leave the warehouse? This is urgent.,Your package is scheduled to ship later today.
Shipped,Did my package already go out? This is urgent.,"Yes, the carrier picked up your package this morning. A support representative will follow up if needed."
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely.
Transit,My package is delayed in transit. Thanks in advance.,We apologize for the delay and are monitoring the shipment closely. We appreciate your understanding.
Investigations,The package never arrived and tracking stopped. Thanks in advance.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
Investigations,I think my shipment is missing. Please help.,We are actively working with the carrier to resolve the issue. A support representative will follow up if needed.
General,I need to change my shipping address. Order #10089.,Your delivery address has been updated. We appreciate your understanding.
Delivered,I received an empty package. Order #10090.,We are investigating the missing contents immediately. Our support team is monitoring this case.
Investigations,The package never arrived and tracking stopped. Please help.,An investigation has been initiated to locate the shipment. Please allow additional time for updates.
Shipped,Has my order shipped yet? Please help.,Your order has already been shipped.
Delivered,My tracking says delivered but I can't find the package. Please help.,We have contacted the carrier to verify the delivery details. Please allow additional time for updates.
Shipped,I need the shipment confirmation for my order. Please help.,Your shipment confirmation has been sent successfully. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Please help.,Please check nearby areas while we investigate the delivery. Thank you for your patience.
Delivered,My order says delivered but nothing was left at my door. Please help.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
General,How do I update my contact information? Order #10097.,Your account details have been updated successfully. A support representative will follow up if needed.
General,Can I cancel my order before it ships? This is urgent.,Your cancellation request has been completed. A support representative will follow up if needed.
General,How do I update my contact information?,Your account details have been updated successfully.
Delivered,My tracking says delivered but I can't find the package.,We have contacted the carrier to verify the delivery details.
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details.
General,I entered the wrong apartment number. Thanks in advance.,We corrected the address on your order. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Shipped,Has my order shipped yet? Thanks in advance.,Your order has already been shipped. Please allow additional time for updates.
Transit,My package is delayed in transit. Thanks in advance.,We apologize for the delay and are monitoring the shipment closely.
General,I entered the wrong apartment number. Please help.,We corrected the address on your order. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? Thanks in advance.,The carrier expects the package to move within the next 24 hours.
General,I want to place a replacement order. Please help.,We can assist you with a replacement purchase. A support representative will follow up if needed.
General,I entered the wrong apartment number.,We corrected the address on your order. Please allow additional time for updates.
Delivered,The item arrived damaged.,We are arranging a replacement shipment for you. Please allow additional time for updates.
Shipped,I need the shipment confirmation for my order. Thanks in advance.,Your shipment confirmation has been sent successfully.
Transit,My package is delayed in transit. This is urgent.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. You will receive another update shortly.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
Shipped,When will my order leave the warehouse? Please help.,Your package is scheduled to ship later today. We appreciate your understanding.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely.
Investigations,The package never arrived and tracking stopped. Order #10117.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
General,I want to place a replacement order. Please help.,We can assist you with a replacement purchase.
Delivered,The item arrived damaged. Order #10119.,We are arranging a replacement shipment for you.
Investigations,Tracking hasn't changed in over a week. This is urgent.,Our investigations team is reviewing the delay.
Shipped,When will my order leave the warehouse? Thanks in advance.,Your package is scheduled to ship later today.
General,How do I update my contact information? Please help.,Your account details have been updated successfully. Our support team is monitoring this case.
Delivered,I received an empty package.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? Thanks in advance.,The carrier expects the package to move within the next 24 hours. You will receive another update shortly.
Transit,The tracking page says in transit for days. Order #10125.,Your package is still on the way and should arrive soon.
Transit,Where is my package? It hasn't updated since yesterday. This is urgent.,Your shipment is still moving through the carrier network.
Delivered,My tracking says delivered but I can't find the package. Order #10127.,We have contacted the carrier to verify the delivery details.
General,I entered the wrong apartment number.,We corrected the address on your order. A support representative will follow up if needed.
Investigations,Can you check if the package was misplaced?,We escalated the issue with the shipping carrier. A support representative will follow up if needed.
General,I need to change my shipping address. Please help.,Your delivery address has been updated. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? This is urgent.,The carrier expects the package to move within the next 24 hours. Please allow additional time for updates.
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details. Thank you for your patience.
Shipped,Did my package already go out? Please help.,"Yes, the carrier picked up your package this morning. A support representative will follow up if needed."
Delivered,The package was delivered to the wrong address. Order #10134.,We are reviewing the GPS delivery scan with the carrier.
Investigations,My package appears lost. Order #10135.,We have opened a carrier investigation for your shipment.
Delivered,My tracking says delivered but I can't find the package. Please help.,We have contacted the carrier to verify the delivery details. Please allow additional time for updates.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely.
Transit,Why has my package been sitting at the same facility? Order #10138.,The carrier expects the package to move within the next 24 hours.
Transit,Where is my package? It hasn't updated since yesterday.,Your shipment is still moving through the carrier network.
Investigations,I think my shipment is missing. Order #10140.,We are actively working with the carrier to resolve the issue. Our support team is monitoring this case.
Shipped,I need the shipment confirmation for my order. This is urgent.,Your shipment confirmation has been sent successfully. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Thanks in advance.,Our investigations team is reviewing the delay. Thank you for your patience.
Investigations,My package appears lost.,We have opened a carrier investigation for your shipment.
Investigations,Can you check if the package was misplaced? Order #10144.,We escalated the issue with the shipping carrier. Please allow additional time for updates.
Shipped,Did my package already go out? Please help.,"Yes, the carrier picked up your package this morning. Our support team is monitoring this case."
Shipped,Did my package already go out?,"Yes, the carrier picked up your package this morning. A support representative will follow up if needed."
Transit,Where is my package? It hasn't updated since yesterday. Thanks in advance.,Your shipment is still moving through the carrier network. Please allow additional time for updates.
Investigations,The package never arrived and tracking stopped. This is urgent.,An investigation has been initiated to locate the shipment.
General,How do I update my contact information?,Your account details have been updated successfully. Thank you for your patience.
Shipped,When will my order leave the warehouse? Order #10150.,Your package is scheduled to ship later today.
Delivered,The item arrived damaged. Please help.,We are arranging a replacement shipment for you. Thank you for your patience.
Transit,My package is delayed in transit. This is urgent.,We apologize for the delay and are monitoring the shipment closely.
Delivered,I received an empty package. Please help.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Thanks in advance.,Please check nearby areas while we investigate the delivery.
Delivered,I received an empty package. Thanks in advance.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Investigations,The package never arrived and tracking stopped.,An investigation has been initiated to locate the shipment.
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped. Thank you for your patience.
Investigations,I think my shipment is missing. Thanks in advance.,We are actively working with the carrier to resolve the issue. Thank you for your patience.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. Thank you for your patience.
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details. We appreciate your understanding.
Transit,Can you tell me why tracking stopped updating? Order #10161.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Investigations,My package appears lost. Please help.,We have opened a carrier investigation for your shipment. Please allow additional time for updates.
Investigations,The package never arrived and tracking stopped. Please help.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
Shipped,Did my package already go out? This is urgent.,"Yes, the carrier picked up your package this morning."
General,I need to change my shipping address. Thanks in advance.,Your delivery address has been updated. A support representative will follow up if needed.
Shipped,Can you send me my tracking information?,Your tracking number has been emailed to you.
General,Can I cancel my order before it ships? This is urgent.,Your cancellation request has been completed.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations.
Delivered,The item arrived damaged. Order #10169.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order. Please help.,Your shipment confirmation has been sent successfully. Please allow additional time for updates.
Transit,The tracking page says in transit for days. This is urgent.,Your package is still on the way and should arrive soon. A support representative will follow up if needed.
Investigations,My package appears lost. Please help.,We have opened a carrier investigation for your shipment.
Delivered,My order says delivered but nothing was left at my door. This is urgent.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
Delivered,I received an empty package. This is urgent.,We are investigating the missing contents immediately. We appreciate your understanding.
Shipped,Can you send me my tracking information?,Your tracking number has been emailed to you. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? This is urgent.,The carrier expects the package to move within the next 24 hours. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Order #10179.,Please check nearby areas while we investigate the delivery. You will receive another update shortly.
Delivered,My tracking says delivered but I can't find the package. Thanks in advance.,We have contacted the carrier to verify the delivery details. We appreciate your understanding.
General,I entered the wrong apartment number. Please help.,We corrected the address on your order. You will receive another update shortly.
Investigations,Can you check if the package was misplaced? Thanks in advance.,We escalated the issue with the shipping carrier. Our support team is monitoring this case.
Delivered,My order says delivered but nothing was left at my door. This is urgent.,Please check nearby areas while we investigate the delivery. We appreciate your understanding.
Delivered,The package was delivered to the wrong address. Please help.,We are reviewing the GPS delivery scan with the carrier.
Shipped,Can you send me my tracking information? Please help.,Your tracking number has been emailed to you.
Investigations,I think my shipment is missing. This is urgent.,We are actively working with the carrier to resolve the issue.
General,How do I update my contact information? This is urgent.,Your account details have been updated successfully. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Please help.,Please check nearby areas while we investigate the delivery.
General,How do I update my contact information?,Your account details have been updated successfully. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery. You will receive another update shortly.
General,How do I update my contact information? Please help.,Your account details have been updated successfully. A support representative will follow up if needed.
Shipped,Did my package already go out?,"Yes, the carrier picked up your package this morning. A support representative will follow up if needed."
Investigations,I think my shipment is missing. Order #10193.,We are actively working with the carrier to resolve the issue.
Delivered,I received an empty package.,We are investigating the missing contents immediately. Thank you for your patience.
Delivered,The item arrived damaged. Please help.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
General,I want to place a replacement order. This is urgent.,We can assist you with a replacement purchase. Our support team is monitoring this case.
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped.
Transit,Where is my package? It hasn't updated since yesterday. Thanks in advance.,Your shipment is still moving through the carrier network. Our support team is monitoring this case.
Transit,Can you tell me why tracking stopped updating? Thanks in advance.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery. Our support team is monitoring this case.
Investigations,I think my shipment is missing. Order #10201.,We are actively working with the carrier to resolve the issue. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
Shipped,Has my order shipped yet? Thanks in advance.,Your order has already been shipped. Thank you for your patience.
General,Can I cancel my order before it ships?,Your cancellation request has been completed.
General,I want to place a replacement order. Order #10205.,We can assist you with a replacement purchase.
Delivered,The item arrived damaged.,We are arranging a replacement shipment for you.
General,I entered the wrong apartment number. This is urgent.,We corrected the address on your order. We appreciate your understanding.
Investigations,I think my shipment is missing. Thanks in advance.,We are actively working with the carrier to resolve the issue.
General,How do I update my contact information?,Your account details have been updated successfully. Our support team is monitoring this case.
Transit,The tracking page says in transit for days. Order #10210.,Your package is still on the way and should arrive soon. We appreciate your understanding.
Transit,Can you tell me why tracking stopped updating? This is urgent.,Tracking updates may take time between scan locations.
Delivered,I received an empty package. Order #10212.,We are investigating the missing contents immediately.
Delivered,My tracking says delivered but I can't find the package. Thanks in advance.,We have contacted the carrier to verify the delivery details.
Investigations,I think my shipment is missing. This is urgent.,We are actively working with the carrier to resolve the issue. Please allow additional time for updates.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations.
Transit,The tracking page says in transit for days.,Your package is still on the way and should arrive soon.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
General,I want to place a replacement order. Thanks in advance.,We can assist you with a replacement purchase. You will receive another update shortly.
Investigations,I think my shipment is missing. Thanks in advance.,We are actively working with the carrier to resolve the issue. You will receive another update shortly.
Investigations,Can you check if the package was misplaced? This is urgent.,We escalated the issue with the shipping carrier.
Transit,Can you tell me why tracking stopped updating? Order #10221.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Transit,Where is my package? It hasn't updated since yesterday. This is urgent.,Your shipment is still moving through the carrier network. A support representative will follow up if needed.
Investigations,Can you check if the package was misplaced? Please help.,We escalated the issue with the shipping carrier.
Shipped,Has my order shipped yet? Please help.,Your order has already been shipped. A support representative will follow up if needed.
Delivered,The package was delivered to the wrong address. Order #10225.,We are reviewing the GPS delivery scan with the carrier.
Delivered,I received an empty package.,We are investigating the missing contents immediately. A support representative will follow up if needed.
General,Can I cancel my order before it ships? Please help.,Your cancellation request has been completed. A support representative will follow up if needed.
General,I want to place a replacement order. Thanks in advance.,We can assist you with a replacement purchase. You will receive another update shortly.
Shipped,Can you send me my tracking information?,Your tracking number has been emailed to you. You will receive another update shortly.
Investigations,My package appears lost. Thanks in advance.,We have opened a carrier investigation for your shipment.
General,I want to place a replacement order. Please help.,We can assist you with a replacement purchase. Please allow additional time for updates.
Investigations,Tracking hasn't changed in over a week. Order #10232.,Our investigations team is reviewing the delay. Please allow additional time for updates.
General,I entered the wrong apartment number. This is urgent.,We corrected the address on your order. A support representative will follow up if needed.
Investigations,I think my shipment is missing. Order #10234.,We are actively working with the carrier to resolve the issue. A support representative will follow up if needed.
General,I want to place a replacement order. Please help.,We can assist you with a replacement purchase.
Transit,Why has my package been sitting at the same facility? Please help.,The carrier expects the package to move within the next 24 hours. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order. Please help.,Your shipment confirmation has been sent successfully. We appreciate your understanding.
Shipped,I need the shipment confirmation for my order. Order #10238.,Your shipment confirmation has been sent successfully.
General,I need to change my shipping address. Order #10239.,Your delivery address has been updated. Please allow additional time for updates.
Shipped,When will my order leave the warehouse? Thanks in advance.,Your package is scheduled to ship later today. We appreciate your understanding.
Transit,My package is delayed in transit.,We apologize for the delay and are monitoring the shipment closely.
General,I want to place a replacement order. Order #10242.,We can assist you with a replacement purchase.
Transit,The tracking page says in transit for days.,Your package is still on the way and should arrive soon.
Transit,The tracking page says in transit for days. Please help.,Your package is still on the way and should arrive soon.
Delivered,I received an empty package. Order #10245.,We are investigating the missing contents immediately. Our support team is monitoring this case.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Delivered,The item arrived damaged. Please help.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Thanks in advance.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
Shipped,When will my order leave the warehouse? Order #10250.,Your package is scheduled to ship later today.
General,I entered the wrong apartment number. Thanks in advance.,We corrected the address on your order. A support representative will follow up if needed.
Shipped,Has my order shipped yet? Thanks in advance.,Your order has already been shipped. You will receive another update shortly.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations.
Transit,Why has my package been sitting at the same facility? Order #10254.,The carrier expects the package to move within the next 24 hours. You will receive another update shortly.
Delivered,I received an empty package. Order #10255.,We are investigating the missing contents immediately.
Shipped,Has my order shipped yet? Order #10256.,Your order has already been shipped.
Shipped,When will my order leave the warehouse? Please help.,Your package is scheduled to ship later today.
Delivered,My tracking says delivered but I can't find the package.,We have contacted the carrier to verify the delivery details.
Investigations,My package appears lost. Thanks in advance.,We have opened a carrier investigation for your shipment. Our support team is monitoring this case.
Delivered,I received an empty package. Please help.,We are investigating the missing contents immediately.
General,How do I update my contact information? This is urgent.,Your account details have been updated successfully. A support representative will follow up if needed.
Investigations,My package appears lost. Please help.,We have opened a carrier investigation for your shipment.
Investigations,Can you check if the package was misplaced? Please help.,We escalated the issue with the shipping carrier. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations.
Delivered,I received an empty package.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating? Please help.,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Delivered,The item arrived damaged. Order #10267.,We are arranging a replacement shipment for you.
Investigations,The package never arrived and tracking stopped.,An investigation has been initiated to locate the shipment. Thank you for your patience.
Delivered,The item arrived damaged.,We are arranging a replacement shipment for you.
Delivered,I received an empty package. This is urgent.,We are investigating the missing contents immediately.
Delivered,My tracking says delivered but I can't find the package. This is urgent.,We have contacted the carrier to verify the delivery details. A support representative will follow up if needed.
Delivered,The package was delivered to the wrong address. Thanks in advance.,We are reviewing the GPS delivery scan with the carrier.
Shipped,Did my package already go out? Order #10273.,"Yes, the carrier picked up your package this morning."
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped. We appreciate your understanding.
Transit,The tracking page says in transit for days. This is urgent.,Your package is still on the way and should arrive soon.
Delivered,My tracking says delivered but I can't find the package. Thanks in advance.,We have contacted the carrier to verify the delivery details.
General,I want to place a replacement order. Order #10277.,We can assist you with a replacement purchase.
Investigations,Can you check if the package was misplaced? Please help.,We escalated the issue with the shipping carrier. Please allow additional time for updates.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery. We appreciate your understanding.
Delivered,The package was delivered to the wrong address. Thanks in advance.,We are reviewing the GPS delivery scan with the carrier. You will receive another update shortly.
General,I entered the wrong apartment number. Order #10281.,We corrected the address on your order. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? This is urgent.,The carrier expects the package to move within the next 24 hours. Please allow additional time for updates.
General,I entered the wrong apartment number.,We corrected the address on your order. We appreciate your understanding.
Transit,My package is delayed in transit. This is urgent.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Transit,Where is my package? It hasn't updated since yesterday. Order #10285.,Your shipment is still moving through the carrier network.
General,I need to change my shipping address.,Your delivery address has been updated. A support representative will follow up if needed.
General,I need to change my shipping address.,Your delivery address has been updated. You will receive another update shortly.
General,How do I update my contact information? Thanks in advance.,Your account details have been updated successfully. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. Please help.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
Delivered,The item arrived damaged. This is urgent.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
Investigations,Can you check if the package was misplaced?,We escalated the issue with the shipping carrier. Thank you for your patience.
General,I entered the wrong apartment number. Please help.,We corrected the address on your order. A support representative will follow up if needed.
Shipped,When will my order leave the warehouse? Please help.,Your package is scheduled to ship later today. A support representative will follow up if needed.
Delivered,My tracking says delivered but I can't find the package.,We have contacted the carrier to verify the delivery details. Thank you for your patience.
Shipped,Can you send me my tracking information?,Your tracking number has been emailed to you.
